# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			2376017	2376017	2376017			
N_multimapping			5933771	5933771	5933771			
N_noFeature			6015602	43787146	43920540			
N_ambiguous			7910824	1811696	1798561			
ENSG00000000003.15	TSPAN6	protein_coding	1456	741	715	16.3841	4.5575	4.4566
ENSG00000000005.6	TNMD	protein_coding	24	9	15	0.8300	0.2309	0.2258
ENSG00000000419.13	DPM1	protein_coding	4671	2294	2377	197.5316	54.9472	53.7305
ENSG00000000457.14	SCYL3	protein_coding	2480	2061	2027	18.3911	5.1158	5.0026
ENSG00000000460.17	C1orf112	protein_coding	1329	1549	1463	11.3628	3.1608	3.0908
ENSG00000000938.13	FGR	protein_coding	233	129	105	3.5165	0.9782	0.9565
ENSG00000000971.16	CFH	protein_coding	1263	639	624	8.0786	2.2472	2.1974
ENSG00000001036.14	FUCA2	protein_coding	1425	1095	1117	25.7746	7.1697	7.0109
ENSG00000001084.13	GCLC	protein_coding	1935	1183	1117	11.4606	3.1880	3.1174
ENSG00000001167.14	NFYA	protein_coding	6252	3489	3463	83.7363	23.2929	22.7771
ENSG00000001460.18	STPG1	protein_coding	595	333	320	3.5684	0.9926	0.9706
ENSG00000001461.17	NIPAL3	protein_coding	3833	1884	2007	20.8223	5.7921	5.6639
ENSG00000001497.18	LAS1L	protein_coding	5656	2778	2882	22.9946	6.3964	6.2548
ENSG00000001561.7	ENPP4	protein_coding	2475	1224	1251	27.2030	7.5670	7.3995
ENSG00000001617.12	SEMA3F	protein_coding	33383	16685	16715	353.0791	98.2157	96.0409
ENSG00000001626.16	CFTR	protein_coding	158	95	67	0.8112	0.2256	0.2206
ENSG00000001629.10	ANKIB1	protein_coding	7959	3952	4026	54.9803	15.2938	14.9552
ENSG00000001630.17	CYP51A1	protein_coding	135	69	70	1.9526	0.5432	0.5311
ENSG00000001631.16	KRIT1	protein_coding	678	342	351	5.5782	1.5517	1.5173
ENSG00000002016.18	RAD52	protein_coding	1096	575	521	12.4235	3.4558	3.3793
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	17	7	13	0.1376	0.0383	0.0374
ENSG00000002330.14	BAD	protein_coding	700	1559	1469	20.9192	5.8191	5.6902
ENSG00000002549.12	LAP3	protein_coding	7034	3518	3520	94.8572	26.3863	25.8021
ENSG00000002586.20	CD99	protein_coding	9798	4735	5063	102.9470	28.6367	28.0026
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	102	52	50	0.7002	0.1948	0.1905
ENSG00000002726.21	AOC1	protein_coding	17	9	8	0.2292	0.0638	0.0623
ENSG00000002745.13	WNT16	protein_coding	10	3	7	0.1564	0.0435	0.0425
ENSG00000002746.15	HECW1	protein_coding	7	4	4	0.0256	0.0071	0.0070
ENSG00000002822.15	MAD1L1	protein_coding	17	9	8	0.1200	0.0334	0.0326
ENSG00000002834.18	LASP1	protein_coding	43325	26732	26730	313.1888	87.1194	85.1904
ENSG00000002919.15	SNX11	protein_coding	3176	1565	1613	39.2237	10.9108	10.6692
ENSG00000002933.9	TMEM176A	protein_coding	1522	804	724	22.3431	6.2152	6.0775
ENSG00000003056.8	M6PR	protein_coding	7027	4895	4568	100.0494	27.8307	27.2144
ENSG00000003096.14	KLHL13	protein_coding	136	63	73	0.9941	0.2765	0.2704
ENSG00000003137.8	CYP26B1	protein_coding	182	101	81	1.8524	0.5153	0.5039
ENSG00000003147.19	ICA1	protein_coding	2461	1294	1382	25.7252	7.1560	6.9975
ENSG00000003249.15	DBNDD1	protein_coding	2893	1472	1460	33.0943	9.2058	9.0020
ENSG00000003393.15	ALS2	protein_coding	2325	1167	1158	11.3695	3.1626	3.0926
ENSG00000003400.15	CASP10	protein_coding	270	126	145	1.8179	0.5057	0.4945
ENSG00000003402.20	CFLAR	protein_coding	2497	1425	1321	5.6699	1.5772	1.5423
