# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			2996570	2996570	2996570			
N_multimapping			4910246	4910246	4910246			
N_noFeature			60362311	79902238	61209264			
N_ambiguous			1906634	24272	1174541			
ENSG00000000003.15	TSPAN6	protein_coding	691	0	691	29.6290	9.2344	8.4180
ENSG00000000005.6	TNMD	protein_coding	20	14	6	2.6355	0.8214	0.7488
ENSG00000000419.13	DPM1	protein_coding	335	5	330	53.9820	16.8244	15.3370
ENSG00000000457.14	SCYL3	protein_coding	1292	351	1481	36.5087	11.3785	10.3726
ENSG00000000460.17	C1orf112	protein_coding	536	479	614	17.4623	5.4424	4.9613
ENSG00000000938.13	FGR	protein_coding	56	0	56	3.2205	1.0037	0.9150
ENSG00000000971.16	CFH	protein_coding	1042	1	1041	25.3966	7.9153	7.2155
ENSG00000001036.14	FUCA2	protein_coding	216	57	270	14.8870	4.6398	4.2296
ENSG00000001084.13	GCLC	protein_coding	2277	20	2434	51.3887	16.0162	14.6002
ENSG00000001167.14	NFYA	protein_coding	1881	6	2066	95.9978	29.9193	27.2743
ENSG00000001460.18	STPG1	protein_coding	166	27	154	3.7935	1.1823	1.0778
ENSG00000001461.17	NIPAL3	protein_coding	1157	4	1168	23.9498	7.4644	6.8045
ENSG00000001497.18	LAS1L	protein_coding	664	18	646	10.2864	3.2059	2.9225
ENSG00000001561.7	ENPP4	protein_coding	1256	22	1234	52.6028	16.3945	14.9452
ENSG00000001617.12	SEMA3F	protein_coding	1269	8	1277	51.1429	15.9396	14.5304
ENSG00000001626.16	CFTR	protein_coding	69	44	27	1.3499	0.4207	0.3835
ENSG00000001629.10	ANKIB1	protein_coding	3028	3	3026	79.7043	24.8412	22.6451
ENSG00000001630.17	CYP51A1	protein_coding	14	3	12	0.7716	0.2405	0.2192
ENSG00000001631.16	KRIT1	protein_coding	571	8	564	17.9009	5.5791	5.0859
ENSG00000002016.18	RAD52	protein_coding	537	42	495	23.1944	7.2289	6.5899
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	54	65	2	1.6653	0.5190	0.4731
ENSG00000002330.14	BAD	protein_coding	29	12	65	3.3023	1.0292	0.9382
ENSG00000002549.12	LAP3	protein_coding	1175	10	1173	60.3786	18.8180	17.1544
ENSG00000002586.20	CD99	protein_coding	1518	3	1515	60.7751	18.9416	17.2670
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	107	42	65	2.7991	0.8724	0.7953
ENSG00000002726.21	AOC1	protein_coding	12	11	1	0.6165	0.1921	0.1751
ENSG00000002745.13	WNT16	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002746.15	HECW1	protein_coding	36	1	35	0.5025	0.1566	0.1428
ENSG00000002822.15	MAD1L1	protein_coding	82	0	82	2.2059	0.6875	0.6267
ENSG00000002834.18	LASP1	protein_coding	2933	0	3926	80.7899	25.1795	22.9535
ENSG00000002919.15	SNX11	protein_coding	180	28	152	8.4707	2.6400	2.4066
ENSG00000002933.9	TMEM176A	protein_coding	95	2	95	5.3141	1.6562	1.5098
ENSG00000003056.8	M6PR	protein_coding	656	85	955	35.5898	11.0922	10.1116
