# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			2196166	2196166	2196166			
N_multimapping			7033136	7033136	7033136			
N_noFeature			3003317	46191584	46492837			
N_ambiguous			9192636	2227977	2214540			
ENSG00000000003.15	TSPAN6	protein_coding	4153	2056	2097	37.5782	11.4121	11.8603
ENSG00000000005.6	TNMD	protein_coding	8	2	6	0.2225	0.0676	0.0702
ENSG00000000419.13	DPM1	protein_coding	2871	1454	1417	97.6276	29.6486	30.8128
ENSG00000000457.14	SCYL3	protein_coding	3446	3016	2862	20.5487	6.2404	6.4855
ENSG00000000460.17	C1orf112	protein_coding	690	1593	1685	4.7437	1.4406	1.4972
ENSG00000000938.13	FGR	protein_coding	472	249	223	5.7282	1.7396	1.8079
ENSG00000000971.16	CFH	protein_coding	4870	2424	2447	25.0480	7.6068	7.9055
ENSG00000001036.14	FUCA2	protein_coding	5228	3722	3813	76.0371	23.0917	23.9985
ENSG00000001084.13	GCLC	protein_coding	4232	2499	2365	20.1551	6.1209	6.3613
ENSG00000001167.14	NFYA	protein_coding	3461	1909	1849	37.2743	11.3198	11.7644
ENSG00000001460.18	STPG1	protein_coding	953	506	483	4.5958	1.3957	1.4505
ENSG00000001461.17	NIPAL3	protein_coding	4239	2177	2100	18.5169	5.6234	5.8442
ENSG00000001497.18	LAS1L	protein_coding	7149	3501	3650	23.3709	7.0975	7.3762
ENSG00000001561.7	ENPP4	protein_coding	3040	1513	1527	26.8676	8.1594	8.4798
ENSG00000001617.12	SEMA3F	protein_coding	6723	3328	3397	57.1772	17.3641	18.0460
ENSG00000001626.16	CFTR	protein_coding	21	17	8	0.0867	0.0263	0.0274
ENSG00000001629.10	ANKIB1	protein_coding	5898	2968	2931	32.7617	9.9494	10.3401
ENSG00000001630.17	CYP51A1	protein_coding	57	28	33	0.6629	0.2013	0.2092
ENSG00000001631.16	KRIT1	protein_coding	582	292	290	3.8503	1.1693	1.2152
ENSG00000002016.18	RAD52	protein_coding	491	245	246	4.4753	1.3591	1.4125
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	2	2	1	0.0130	0.0040	0.0041
ENSG00000002330.14	BAD	protein_coding	296	870	878	7.1130	2.1601	2.2450
ENSG00000002549.12	LAP3	protein_coding	7981	3973	4008	86.5442	26.2826	27.3147
ENSG00000002586.20	CD99	protein_coding	15508	7152	8356	131.0222	39.7902	41.3527
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	361	181	180	1.9928	0.6052	0.6290
ENSG00000002726.21	AOC1	protein_coding	19	11	8	0.2060	0.0626	0.0650
ENSG00000002745.13	WNT16	protein_coding	6	3	3	0.0754	0.0229	0.0238
ENSG00000002746.15	HECW1	protein_coding	38	28	35	0.1119	0.0340	0.0353
ENSG00000002822.15	MAD1L1	protein_coding	45	26	19	0.2555	0.0776	0.0806
ENSG00000002834.18	LASP1	protein_coding	48294	30934	30187	280.7202	85.2520	88.5998
ENSG00000002919.15	SNX11	protein_coding	2620	1359	1267	26.0185	7.9016	8.2119
ENSG00000002933.9	TMEM176A	protein_coding	3659	1866	1793	43.1921	13.1170	13.6321
ENSG00000003056.8	M6PR	protein_coding	3547	2537	2516	40.6087	12.3325	12.8167
ENSG00000003096.14	KLHL13	protein_coding	2707	1362	1345	15.9108	4.8320	5.0217
ENSG00000003137.8	CYP26B1	protein_coding	69	37	32	0.5647	0.1715	0.1782
ENSG00000003147.19	ICA1	protein_coding	6315	3523	3542	53.0803	16.1200	16.7530
ENSG00000003249.15	DBNDD1	protein_coding	2346	1181	1178	21.5797	6.5535	6.8109
ENSG00000003393.15	ALS2	protein_coding	2018	1011	1007	7.9351	2.4098	2.5044
ENSG00000003400.15	CASP10	protein_coding	545	281	264	2.9506	0.8961	0.9313
ENSG00000003402.20	CFLAR	protein_coding	3885	2099	2174	7.0935	2.1542	2.2388
ENSG00000003436.16	TFPI	protein_coding	1277	651	706	4.4744	1.3588	1.4122
ENSG00000003509.16	NDUFAF7	protein_coding	867	566	526	9.7466	2.9600	3.0762
ENSG00000003756.17	RBM5	protein_coding	5692	3793	3871	22.5568	6.8503	7.1193
ENSG00000003987.14	MTMR7	protein_coding	112	321	304	0.6635	0.2015	0.2094
ENSG00000003989.18	SLC7A2	protein_coding	31328	15841	15487	162.6588	49.3979	51.3377
ENSG00000004059.11	ARF5	protein_coding	7283	3752	3590	163.7926	49.7422	51.6956
ENSG00000004139.14	SARM1	protein_coding	209	1744	1837	0.7725	0.2346	0.2438
ENSG00000004142.12	POLDIP2	protein_coding	11000	6421	6272	169.0940	51.3522	53.3688
ENSG00000004399.13	PLXND1	protein_coding	6269	3034	3236	26.9230	8.1763	8.4973
ENSG00000004455.17	AK2	protein_coding	9721	5039	4723	41.4531	12.5889	13.0833
ENSG00000004468.13	CD38	protein_coding	264	121	143	1.5802	0.4799	0.4987
ENSG00000004478.8	FKBP4	protein_coding	38163	25672	25563	303.3801	92.1336	95.7516
ENSG00000004487.17	KDM1A	protein_coding	7080	3564	3516	53.4172	16.2223	16.8593
ENSG00000004534.15	RBM6	protein_coding	6700	3251	3450	37.6754	11.4417	11.8910
ENSG00000004660.15	CAMKK1	protein_coding	820	410	410	4.5279	1.3751	1.4291
ENSG00000004700.16	RECQL	protein_coding	950	1499	1481	10.3180	3.1335	3.2565
ENSG00000004766.17	VPS50	protein_coding	3221	1621	1600	13.8301	4.2001	4.3650
ENSG00000004776.13	HSPB6	protein_coding	41	206	224	0.9761	0.2964	0.3081
ENSG00000004777.18	ARHGAP33	protein_coding	333	176	180	2.5984	0.7891	0.8201
ENSG00000004779.10	NDUFAB1	protein_coding	8377	4188	4189	222.1081	67.4521	70.1009
ENSG00000004799.8	PDK4	protein_coding	1703	820	883	15.3824	4.6715	4.8549
ENSG00000004809.14	SLC22A16	protein_coding	4	2	2	0.0420	0.0128	0.0133
ENSG00000004838.14	ZMYND10	protein_coding	667	395	418	9.4760	2.8778	2.9908
ENSG00000004846.16	ABCB5	protein_coding	18	7	11	0.0798	0.0242	0.0252
ENSG00000004848.8	ARX	protein_coding	10	7	3	0.1318	0.0400	0.0416
ENSG00000004864.14	SLC25A13	protein_coding	2383	1181	1202	26.3631	8.0062	8.3206
ENSG00000004866.22	ST7	protein_coding	2427	1362	1338	15.2640	4.6355	4.8176
ENSG00000004897.12	CDC27	protein_coding	5032	2603	2575	30.2655	9.1914	9.5523
ENSG00000004939.15	SLC4A1	protein_coding	1	0	1	0.0080	0.0024	0.0025
ENSG00000004948.16	CALCR	protein_coding	133	72	61	1.2929	0.3927	0.4081
ENSG00000004961.15	HCCS	protein_coding	2561	1347	1214	44.8626	13.6243	14.1593
ENSG00000004975.12	DVL2	protein_coding	2329	1217	1113	17.9648	5.4557	5.6700
ENSG00000005001.10	PRSS22	protein_coding	888	484	441	15.2881	4.6428	4.8252
ENSG00000005007.13	UPF1	protein_coding	9829	4991	4841	47.0569	14.2907	14.8519
ENSG00000005020.13	SKAP2	protein_coding	4630	2311	2319	35.4472	10.7650	11.1877
