# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			1358021	1358021	1358021			
N_multimapping			2171738	2171738	2171738			
N_noFeature			1095035	14091004	14073433			
N_ambiguous			2550793	629244	628048			
ENSG00000000003.15	TSPAN6	protein_coding	427	201	226	14.4021	3.9243	3.6890
ENSG00000000005.6	TNMD	protein_coding	5	2	3	0.5183	0.1412	0.1328
ENSG00000000419.13	DPM1	protein_coding	894	435	459	113.3185	30.8770	29.0259
ENSG00000000457.14	SCYL3	protein_coding	537	398	389	11.9362	3.2524	3.0574
ENSG00000000460.17	C1orf112	protein_coding	208	229	255	5.3304	1.4524	1.3654
ENSG00000000938.13	FGR	protein_coding	693	339	354	31.3495	8.5421	8.0300
ENSG00000000971.16	CFH	protein_coding	1873	969	904	35.9092	9.7845	9.1979
ENSG00000001036.14	FUCA2	protein_coding	606	492	523	32.8538	8.9520	8.4153
ENSG00000001084.13	GCLC	protein_coding	734	424	456	13.0305	3.5505	3.3377
ENSG00000001167.14	NFYA	protein_coding	1322	752	711	53.0717	14.4610	13.5940
ENSG00000001460.18	STPG1	protein_coding	287	152	167	5.1591	1.4057	1.3215
ENSG00000001461.17	NIPAL3	protein_coding	1350	704	678	21.9817	5.9896	5.6305
ENSG00000001497.18	LAS1L	protein_coding	1238	586	656	15.0860	4.1106	3.8642
ENSG00000001561.7	ENPP4	protein_coding	649	292	357	21.3808	5.8258	5.4766
ENSG00000001617.12	SEMA3F	protein_coding	3194	1564	1637	101.2554	27.5900	25.9360
ENSG00000001626.16	CFTR	protein_coding	6	3	3	0.0923	0.0252	0.0237
ENSG00000001629.10	ANKIB1	protein_coding	1794	918	882	37.1456	10.1214	9.5146
ENSG00000001630.17	CYP51A1	protein_coding	87	50	38	3.7717	1.0277	0.9661
ENSG00000001631.16	KRIT1	protein_coding	96	56	44	2.3674	0.6451	0.6064
ENSG00000002016.18	RAD52	protein_coding	157	74	83	5.3342	1.4535	1.3663
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	2	2	0	0.0485	0.0132	0.0124
ENSG00000002330.14	BAD	protein_coding	209	407	428	18.7210	5.1011	4.7953
ENSG00000002549.12	LAP3	protein_coding	4650	2354	2298	187.9566	51.2144	48.1440
ENSG00000002586.20	CD99	protein_coding	4603	2095	2508	144.9620	39.4992	37.1312
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	72	35	37	1.4816	0.4037	0.3795
ENSG00000002726.21	AOC1	protein_coding	22	11	11	0.8890	0.2422	0.2277
ENSG00000002745.13	WNT16	protein_coding	7	5	2	0.3281	0.0894	0.0840
ENSG00000002746.15	HECW1	protein_coding	12	7	6	0.1317	0.0359	0.0337
ENSG00000002822.15	MAD1L1	protein_coding	26	10	16	0.5502	0.1499	0.1409
ENSG00000002834.18	LASP1	protein_coding	11784	6993	7084	255.3272	69.5715	65.4006
ENSG00000002919.15	SNX11	protein_coding	662	332	333	24.5055	6.6772	6.2769
ENSG00000002933.9	TMEM176A	protein_coding	1035	543	496	45.5414	12.4091	11.6652
ENSG00000003056.8	M6PR	protein_coding	3108	2014	1773	132.6363	36.1407	33.9740
ENSG00000003096.14	KLHL13	protein_coding	474	234	240	10.3850	2.8297	2.6601
ENSG00000003137.8	CYP26B1	protein_coding	105	56	49	3.2032	0.8728	0.8205
ENSG00000003147.19	ICA1	protein_coding	1430	835	790	44.8043	12.2083	11.4764
ENSG00000003249.15	DBNDD1	protein_coding	655	326	335	22.4586	6.1195	5.7526
ENSG00000003393.15	ALS2	protein_coding	776	395	382	11.3740	3.0992	2.9134
ENSG00000003400.15	CASP10	protein_coding	406	197	209	8.1935	2.2326	2.0987
ENSG00000003402.20	CFLAR	protein_coding	4110	2345	2444	27.9728	7.6220	7.1651
ENSG00000003436.16	TFPI	protein_coding	788	442	419	10.2918	2.8043	2.6362
ENSG00000003509.16	NDUFAF7	protein_coding	237	167	209	9.9313	2.7061	2.5439
ENSG00000003756.17	RBM5	protein_coding	1494	1071	1031	22.0692	6.0134	5.6529
ENSG00000003987.14	MTMR7	protein_coding	135	183	199	2.9812	0.8123	0.7636
ENSG00000003989.18	SLC7A2	protein_coding	15367	7683	7685	297.4115	81.0386	76.1803
ENSG00000004059.11	ARF5	protein_coding	1373	681	709	115.1008	31.3626	29.4824
ENSG00000004139.14	SARM1	protein_coding	291	874	887	4.0091	1.0924	1.0269
ENSG00000004142.12	POLDIP2	protein_coding	2445	1374	1406	140.1000	38.1744	35.8858
ENSG00000004399.13	PLXND1	protein_coding	4931	2411	2521	78.9376	21.5089	20.2194
ENSG00000004455.17	AK2	protein_coding	3118	1599	1543	49.5617	13.5046	12.6949
ENSG00000004468.13	CD38	protein_coding	629	313	316	14.0342	3.8240	3.5948
ENSG00000004478.8	FKBP4	protein_coding	4411	2882	2799	130.7090	35.6156	33.4804
ENSG00000004487.17	KDM1A	protein_coding	2624	1289	1335	73.7965	20.1080	18.9025
ENSG00000004534.15	RBM6	protein_coding	1714	861	853	35.9268	9.7893	9.2024
ENSG00000004660.15	CAMKK1	protein_coding	235	128	107	4.8370	1.3180	1.2390
ENSG00000004700.16	RECQL	protein_coding	1376	1141	1175	55.7073	15.1791	14.2691
ENSG00000004766.17	VPS50	protein_coding	484	247	237	7.7465	2.1108	1.9842
ENSG00000004776.13	HSPB6	protein_coding	46	160	152	4.0822	1.1123	1.0456
ENSG00000004777.18	ARHGAP33	protein_coding	225	111	131	6.5444	1.7832	1.6763
ENSG00000004779.10	NDUFAB1	protein_coding	1103	496	607	109.0122	29.7036	27.9229
ENSG00000004799.8	PDK4	protein_coding	2374	1174	1200	79.9306	21.7795	20.4738
ENSG00000004809.14	SLC22A16	protein_coding	2	2	0	0.0783	0.0213	0.0201
ENSG00000004838.14	ZMYND10	protein_coding	361	211	218	19.1175	5.2091	4.8968
ENSG00000004846.16	ABCB5	protein_coding	40	30	10	0.6611	0.1801	0.1693
ENSG00000004848.8	ARX	protein_coding	3	1	2	0.1474	0.0402	0.0378
ENSG00000004864.14	SLC25A13	protein_coding	314	154	160	12.9487	3.5283	3.3167
ENSG00000004866.22	ST7	protein_coding	324	184	204	7.5957	2.0697	1.9456
ENSG00000004897.12	CDC27	protein_coding	1666	874	889	37.3514	10.1775	9.5673
