# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			6110735	6110735	6110735			
N_multimapping			6345032	6345032	6345032			
N_noFeature			1704354	35153721	35291885			
N_ambiguous			7688723	1850149	1843913			
ENSG00000000003.15	TSPAN6	protein_coding	907	463	444	9.5538	3.1930	3.7183
ENSG00000000005.6	TNMD	protein_coding	13	5	8	0.4208	0.1406	0.1638
ENSG00000000419.13	DPM1	protein_coding	1383	712	671	54.7463	18.2970	21.3072
ENSG00000000457.14	SCYL3	protein_coding	781	660	630	5.4214	1.8119	2.1100
ENSG00000000460.17	C1orf112	protein_coding	179	332	370	1.4326	0.4788	0.5576
ENSG00000000938.13	FGR	protein_coding	868	464	404	12.2627	4.0984	4.7726
ENSG00000000971.16	CFH	protein_coding	2223	1124	1099	13.3100	4.4484	5.1802
ENSG00000001036.14	FUCA2	protein_coding	1804	1225	1131	30.5436	10.2081	11.8875
ENSG00000001084.13	GCLC	protein_coding	1260	737	643	6.9856	2.3347	2.7188
ENSG00000001167.14	NFYA	protein_coding	807	432	470	10.1175	3.3814	3.9377
ENSG00000001460.18	STPG1	protein_coding	815	425	416	4.5753	1.5291	1.7807
ENSG00000001461.17	NIPAL3	protein_coding	2198	1110	1114	11.1770	3.7355	4.3501
ENSG00000001497.18	LAS1L	protein_coding	3994	1978	2018	15.1996	5.0799	5.9157
ENSG00000001561.7	ENPP4	protein_coding	192	85	107	1.9754	0.6602	0.7688
ENSG00000001617.12	SEMA3F	protein_coding	14614	7280	7336	144.6845	48.3556	56.3111
ENSG00000001626.16	CFTR	protein_coding	2	2	5	0.0096	0.0032	0.0037
ENSG00000001629.10	ANKIB1	protein_coding	1323	678	655	8.5549	2.8592	3.3296
ENSG00000001630.17	CYP51A1	protein_coding	104	59	52	1.4081	0.4706	0.5480
ENSG00000001631.16	KRIT1	protein_coding	299	162	147	2.3027	0.7696	0.8962
ENSG00000002016.18	RAD52	protein_coding	527	274	253	5.5918	1.8688	2.1763
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	14	12	8	0.1061	0.0354	0.0413
ENSG00000002330.14	BAD	protein_coding	2140	3773	3893	59.8640	20.0074	23.2990
ENSG00000002549.12	LAP3	protein_coding	6616	3288	3328	83.5160	27.9123	32.5044
ENSG00000002586.20	CD99	protein_coding	19203	8727	10476	188.8651	63.1215	73.5061
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	337	158	179	2.1657	0.7238	0.8429
ENSG00000002726.21	AOC1	protein_coding	127	67	60	1.6027	0.5357	0.6238
ENSG00000002745.13	WNT16	protein_coding	81	38	43	1.1857	0.3963	0.4615
ENSG00000002746.15	HECW1	protein_coding	9	2	7	0.0309	0.0103	0.0120
ENSG00000002822.15	MAD1L1	protein_coding	77	38	39	0.5089	0.1701	0.1980
ENSG00000002834.18	LASP1	protein_coding	13231	8325	8397	89.5296	29.9221	34.8448
ENSG00000002919.15	SNX11	protein_coding	2562	1313	1249	29.6179	9.8987	11.5272
ENSG00000002933.9	TMEM176A	protein_coding	2016	969	1071	27.7029	9.2587	10.7820
ENSG00000003056.8	M6PR	protein_coding	2763	1798	1807	36.8241	12.3071	14.3319
ENSG00000003096.14	KLHL13	protein_coding	136	67	69	0.9305	0.3110	0.3622
ENSG00000003137.8	CYP26B1	protein_coding	688	355	333	6.5548	2.1907	2.5511
ENSG00000003147.19	ICA1	protein_coding	1644	1025	1047	16.0863	5.3763	6.2608
ENSG00000003249.15	DBNDD1	protein_coding	3443	1734	1747	36.8678	12.3218	14.3489
ENSG00000003393.15	ALS2	protein_coding	1131	559	572	5.1771	1.7303	2.0149
ENSG00000003400.15	CASP10	protein_coding	762	375	387	4.8025	1.6051	1.8691
ENSG00000003402.20	CFLAR	protein_coding	3988	2172	2196	8.4765	2.8330	3.2991
ENSG00000003436.16	TFPI	protein_coding	1046	596	530	4.2664	1.4259	1.6605
ENSG00000003509.16	NDUFAF7	protein_coding	365	251	240	4.7766	1.5964	1.8591
ENSG00000003756.17	RBM5	protein_coding	3530	2831	2815	16.2847	5.4426	6.3380
ENSG00000003987.14	MTMR7	protein_coding	82	149	171	0.5655	0.1890	0.2201
ENSG00000003989.18	SLC7A2	protein_coding	3025	1474	1551	18.2837	6.1107	7.1160
ENSG00000004059.11	ARF5	protein_coding	12514	6445	6187	327.6223	109.4961	127.5103
ENSG00000004139.14	SARM1	protein_coding	490	1530	1544	2.1082	0.7046	0.8205
ENSG00000004142.12	POLDIP2	protein_coding	9116	5191	5157	163.1298	54.5203	63.4899
ENSG00000004399.13	PLXND1	protein_coding	15555	7788	7767	77.7658	25.9905	30.2664
ENSG00000004455.17	AK2	protein_coding	6475	3325	3222	32.1425	10.7425	12.5098
ENSG00000004468.13	CD38	protein_coding	133	69	64	0.9267	0.3097	0.3607
